Entity,Code,Year,Decadal average surface temperature
Burkina Faso,BFA,1940,27.433506
Burkina Faso,BFA,1950,27.19695
Burkina Faso,BFA,1960,27.577435
Burkina Faso,BFA,1970,27.892223
Burkina Faso,BFA,1980,28.350834
Burkina Faso,BFA,1990,28.26748
Burkina Faso,BFA,2000,28.664362
Burkina Faso,BFA,2010,28.954828
Burundi,BDI,1940,19.939167
Burundi,BDI,1950,19.718437
Burundi,BDI,1960,19.639338
Burundi,BDI,1970,19.646296
Burundi,BDI,1980,20.112867
Burundi,BDI,1990,20.319622
Burundi,BDI,2000,20.491173
Burundi,BDI,2010,20.864315
Cambodia,KHM,1940,25.786306
Cambodia,KHM,1950,26.275448
Cambodia,KHM,1960,26.376766
Cambodia,KHM,1970,26.508368
Cambodia,KHM,1980,26.91011
Cambodia,KHM,1990,27.088154
Cambodia,KHM,2000,27.338985
Cambodia,KHM,2010,27.784378
Cameroon,CMR,1940,23.831179
Cameroon,CMR,1950,23.756207
Cameroon,CMR,1960,23.991365
Cameroon,CMR,1970,23.7205
Cameroon,CMR,1980,23.98357
Cameroon,CMR,1990,24.264126
Cameroon,CMR,2000,24.488468
Cameroon,CMR,2010,24.828928
Canada,CAN,1940,-4.5013404
Canada,CAN,1950,-4.888083
Canada,CAN,1960,-4.8859005
Canada,CAN,1970,-4.9902954
Canada,CAN,1980,-4.3718634
Canada,CAN,1990,-4.1776314
Canada,CAN,2000,-3.7337222
Canada,CAN,2010,-3.3310027
Cape Verde,CPV,1940,22.551914
Cape Verde,CPV,1950,22.393755
Cape Verde,CPV,1960,22.469717
Cape Verde,CPV,1970,22.171062
Cape Verde,CPV,1980,22.49761
Cape Verde,CPV,1990,22.635107
Cape Verde,CPV,2000,22.852364
Cape Verde,CPV,2010,22.746395
Cayman Islands,CYM,1940,26.485058
Cayman Islands,CYM,1950,26.379206
Cayman Islands,CYM,1960,26.429981
Cayman Islands,CYM,1970,26.391993
Cayman Islands,CYM,1980,26.415531
Cayman Islands,CYM,1990,26.65942
Cayman Islands,CYM,2000,26.686573
Cayman Islands,CYM,2010,26.941961
Central African Republic,CAF,1940,25.370228
Central African Republic,CAF,1950,25.124933
Central African Republic,CAF,1960,25.574905
Central African Republic,CAF,1970,25.083193
Central African Republic,CAF,1980,25.30791
Central African Republic,CAF,1990,25.486904
Central African Republic,CAF,2000,25.740973
Central African Republic,CAF,2010,26.129871
Chad,TCD,1940,25.60622
Chad,TCD,1950,25.817434
Chad,TCD,1960,26.184536
Chad,TCD,1970,26.39297
Chad,TCD,1980,26.234015
Chad,TCD,1990,26.631128
Chad,TCD,2000,27.112442
Chad,TCD,2010,27.660955
Chile,CHL,1940,8.131473
Chile,CHL,1950,8.202648
Chile,CHL,1960,8.644819
Chile,CHL,1970,8.533354
Chile,CHL,1980,8.799376
Chile,CHL,1990,8.951991
Chile,CHL,2000,8.973836
